Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Counter-Strike: Global Offensive,0,Very Positive,135085,"Valve, Hidden Path Entertainment","Action, Free to Play",83,"['Windows7', 'WindowsVista', 'WindowsXP']", Intel® Core™ 2 Duo E6600, 2 GB RAM, Video card must be 256 MB, Version 9.0c,, 15 GB available space
Team Fortress 2,0,Very Positive,7506,Valve,"Action, Free to Play",92,"['Windows7', 'WindowsVista', 'WindowsXP']", 1.7 GHz Processor, 512 MB RAM,, Version 8.1, Broadband Internet connection, 15 GB available space
Dota 2,0,Mostly Positive,19835,Valve,"Action, Free to Play, Strategy",90,['Windows7'], Dual core from Intel, 4 GB RAM," NVIDIA GeForce 8600,9600GT, ATI,AMD Radeon HD2600,3600", Version 11, Broadband Internet connection, 60 GB available space
Rust,1100,Very Positive,10661,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG",69,['Windows8']," Intel Core i7-3770 , AMD FX-9590", 10 GB RAM," GTX 670 2GB , AMD R9 280 better", Version 11, Broadband Internet connection, 25 GB available space
Euro Truck Simulator 2,949,Overwhelmingly Positive,7246,SCS Software,"Indie, Simulation",79,['Windows7'], Dual core CPU 2.4 GHz, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
Hunt: Showdown,1349,Very Positive,2566,Crytek,Action,81,['Windows10'], Intel i5-4590 @ 3.3GHz (4th Generation), 8 GB RAM, NVIDIA GeForce GTX 660 TI, Version 11, Broadband Internet connection, 36 GB available space
No Man's Sky,1900,Very Positive,1493,Hello Games,"Action, Adventure",61,['Windows10'], Intel Core i3, 8 GB RAM," Nvidia GTX 1060 3GB, AMD RX 470 4GB, Intel UHD graphics 630",,, 15 GB available space
Path of Exile,0,Very Positive,1815,Grinding Gear Games,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG",86,"['Windows7', 'Windows8']", Quad core 2.6GHz x86-compatible, 8 GB RAM, NVIDIA® GeForce® GTX 650 Ti, Version 11, Broadband Internet connection, 40 GB available space
PUBG: BATTLEGROUNDS,0,Mixed,14079,"KRAFTON, Inc.","Action, Adventure, Free to Play, Massively Multiplayer",,['Windows10']," Intel Core i5-4430 , AMD FX-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB , AMD Radeon R7 370 2GB", Version 11, Broadband Internet connection, 40 GB available space
Phasmophobia,309,Overwhelmingly Positive,7634,Kinetic Games,"Action, Indie, Early Access",,['Windows10']," Intel Core i5-4590 , AMD Ryzen 5 2600", 8 GB RAM," NVIDIA GTX 970 , AMD Radeon R9 390", Version 11, Broadband Internet connection, 21 GB available space
