Name,Price,Reviews,Popularity,Developer,Genres,Critics score,OS,Processor,Memory,Graphics,DirectX,Network,Storage
Counter-Strike: Global Offensive,0,Very Positive,119438,"Valve, Hidden Path Entertainment","Action, Free to Play",83,"['Windows 7', 'Windows Vista', 'Windows XP']","intel 2 duo e6600, amd phenom x3 8750", 2 GB RAM, Video card must be 256 MB, Version 9.0c,, 15 GB available space
Dota 2,0,Mostly Positive,21513,Valve,"Action, Free to Play, Strategy",90,['Windows 7'],"intel, amd at", 4 GB RAM," NVIDIA GeForce 8600,9600GT, ATI,AMD Radeon HD2600,3600", Version 11, Broadband Internet connection, 60 GB available space
Team Fortress 2,0,Very Positive,8095,Valve,"Action, Free to Play",92,"['Windows 7', 'Windows Vista', 'Windows XP']",, 512 MB RAM,, Version 8.1, Broadband Internet connection, 15 GB available space
Rust,1100,Very Positive,10098,Facepunch Studios,"Action, Adventure, Indie, Massively Multiplayer, RPG",69,['Windows 8'],"intel i7-3770, amd fx-9590", 10 GB RAM," GTX 670 2GB , AMD R9 280 better", Version 11, Broadband Internet connection, 25 GB available space
Shadows of Doubt,710,Very Positive,90,ColePowered Games,"Action, Indie, RPG, Early Access",,['Windows 10'],"intel, amd ryzen 5 1600", 8 GB RAM, Nvidia GTX 1060, Version 11,, 4 GB available space
PUBG: BATTLEGROUNDS,0,Mixed,13121,"KRAFTON, Inc.","Action, Adventure, Free to Play, Massively Multiplayer",,['Windows 10'],"intel i5-4430, amd fx-6300", 8 GB RAM," NVIDIA GeForce GTX 960 2GB , AMD Radeon R7 370 2GB", Version 11, Broadband Internet connection, 40 GB available space
Arma 3,1199,Very Positive,155412,Bohemia Interactive,"Action, Simulation, Strategy",74,,,,,,,
Deep Rock Galactic,799,Overwhelmingly Positive,4771,Ghost Ship Games,Action,85,['Windows 7'],, 6 GB RAM, NVIDIA GeForce GTX 660, Version 11, Broadband Internet connection, 3 GB available space
SnowRunner,1199,Very Positive,918,Saber Interactive,"Adventure, Simulation",,"['Windows 7', 'Windows 8', 'Windows 10']","intel i3-4130, amd ryzen 3 2200u 3.4", 8 GB RAM," 2 GB, GeForce GTX 660 , Radeon R9 270",,, 20 GB available space
Wartales,1299,Very Positive,3386,Shiro Games,"Adventure, Indie, RPG, Strategy",,['Windows 7'],"intel i5, amd ryzen 5", 8 GB RAM," NVidia GTX 1050 , AMD RX550", Version 10,, 30 GB available space
Phasmophobia,309,Overwhelmingly Positive,7764,Kinetic Games,"Action, Indie, Early Access",,['Windows 10'],"intel i5-4590, amd ryzen 5 2600", 8 GB RAM," NVIDIA GTX 970 , AMD Radeon R9 390", Version 11, Broadband Internet connection, 21 GB available space
DayZ,1199,Very Positive,2793,Bohemia Interactive,"Action, Adventure, Massively Multiplayer",,"['Windows 7', 'Windows 8']",, 8 GB RAM, NVIDIA GeForce GTX 760, Version 11,, 25 GB available space
Age of Wonders 4,1600,No user reviews,,Triumph Studios,Strategy,,['Windows 10'],"intel i7-2700k, amd ryzen 5 1600x", 8 GB RAM, Nvidia® GeForce™ GTX 670 (2GB),,, 20 GB available space
Path of Exile,0,Very Positive,3086,Grinding Gear Games,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG",86,"['Windows 7', 'Windows 8']",, 8 GB RAM, NVIDIA® GeForce® GTX 650 Ti, Version 11, Broadband Internet connection, 40 GB available space
Sons Of The Forest,1100,Very Positive,9647,Endnight Games Ltd,"Action, Adventure, Indie, Simulation, Early Access",,['Windows 10'],"intel i5-8400, amd ryzen 3 3300x", 12 GB RAM, NVIDIA GeForce GTX 1060 3GB, Version 11,, 20 GB available space
Wallpaper Engine,249,Overwhelmingly Positive,10089,Wallpaper Engine Team,"Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",,"['Windows 7', 'Windows 8', 'Windows 10']",, 1024 MB RAM, HD Graphics 4000, Version 10,, 512 MB available space
Tower of Fantasy,0,Mixed,560,Hotta Studio,"Action, Free to Play, Massively Multiplayer, RPG",,['Windows 7'],, 8 GB RAM, NVIDIA GeForce GT 1030, Version 11, Broadband Internet connection, 25 GB available space
Hunt: Showdown,1349,Mostly Positive,2995,Crytek,Action,81,['Windows 10'],"intel i5-4590, amd ryzen 3 1200", 8 GB RAM, NVIDIA GeForce GTX 660 TI, Version 11, Broadband Internet connection, 50 GB available space
Cult of the Lamb,699,Overwhelmingly Positive,1226,Massive Monster,"Action, Adventure, Indie, Strategy",,['Windows 7'],"intel i3-3240, amd fx-4300", 4 GB RAM, GeForce GTX 560 Ti (1024 VRAM); Radeon HD 7750 (1024 VRAM),,, 4 GB available space
Escape the Backrooms,259,Very Positive,2777,Fancy Games,"Indie, Early Access",,"['Windows 8', 'Windows 10']",, 8 GB RAM, NVIDIA GeForce GTX 650, Version 11,, 10 GB available space
Demonologist,600,Very Positive,4101,Clock Wizard Games,"Action, Adventure, Indie, Early Access",,['Windows 10'],"intel i5, amd equivalent",, NVIDIA GeForce GTX 1050 4GB, Version 11, Broadband Internet connection, 14 GB available space
Aliens: Fireteam Elite,1099,Very Positive,173,Cold Iron Studios,"Action, RPG",,['Windows 10'],, 8 GB RAM," AMD R9 285 4GB , Nvidia GTX 760 4GB", Version 11, Broadband Internet connection, 30 GB available space
Warhammer: Vermintide 2,1499,Very Positive,495,Fatshark,"Action, Indie",82,"['Windows 7', 'Windows 8', 'Windows 8', 'Windows 10']","intel i5-2300, amd fx-4350", 6 GB RAM, NVIDIA GeForce GTX 460, Version 11, Broadband Internet connection, 105 GB available space
EVE Online,0,Mostly Positive,306,CCP,"Action, Free to Play, Massively Multiplayer, RPG, Strategy",88,['Windows 7'],"intel, amd dual", 4 GB or higher,,, ADSL connection (or faster),
Euro Truck Simulator 2,949,Overwhelmingly Positive,8008,SCS Software,"Indie, Simulation",79,['Windows 7'],, 4 GB RAM, GeForce GTS 450-class (Intel HD 4000),,,
